exit,hour,value
1,1,13
1,2,6
1,3,12
1,4,36
1,5,20
1,6,28
1,7,34
1,8,27
1,9,40
1,10,38
1,11,35
1,12,0
1,13,34
1,14,9
1,15,0
1,16,34
2,1,29
2,2,39
2,3,9
2,4,0
2,5,0
2,6,10
2,7,0
2,8,38
2,9,0
2,10,38
2,11,32
2,12,17
2,13,10
2,14,33
2,15,0
2,16,0
3,1,29
3,2,25
3,3,33
3,4,9
3,5,32
3,6,17
3,7,8
3,8,16
3,9,0
3,10,31
3,11,0
3,12,9
3,13,32
3,14,10
3,15,0
3,16,0
4,1,11
4,2,0
4,3,39
4,4,0
4,5,19
4,6,35
4,7,31
4,8,13
4,9,23
4,10,9
4,11,24
4,12,0
4,13,10
4,14,3
4,15,25
4,16,21
5,1,30
5,2,18
5,3,17
5,4,0
5,5,20
5,6,23
5,7,0
5,8,33
5,9,0
5,10,30
5,11,37
5,12,0
5,13,15
5,14,27
5,15,0
5,16,16
6,1,40
6,2,40
6,3,0
6,4,32
6,5,4
6,6,3
6,7,1
6,8,19
6,9,11
6,10,40
6,11,30
6,12,40
6,13,31
6,14,2
6,15,11
6,16,5
